claim_id,template_id,claim_type,truth_label,verification_delay,verifier_result,message_text,role,intended_action_state,commitment_type,commitment_pressure,label_confidence,false_commitment_exposure,true_progress_if_delivered,policy_name,policy_label,policy_action_counts,policy_fce_per_event,policy_progress_per_event,policy_mean_debt_after,policy_defer_ratio,policy_reject_ratio
high_fanout_feasible::edge_reservation-0-006,edge_reservation,token_demand,false,5,false,The prompt budget is below 256 tokens.,planner,TENTATIVE_PLAN,plan,4.2438781875,0.65,2.2964070000000003,0.0,pressure_backpressure,Pressure BP,send_actionable:4,1.980651,0.0,8.043134,0.0,0.0
high_fanout_feasible::edge_reservation-0-006,edge_reservation,token_demand,false,5,false,The prompt budget is below 256 tokens.,planner,TENTATIVE_PLAN,plan,4.2438781875,0.65,2.2964070000000003,0.0,static_cpb,Static CPB,send_actionable:4,2.296407,0.0,19.454249,0.0,0.0
high_fanout_feasible::edge_reservation-0-006,edge_reservation,token_demand,false,5,false,The prompt budget is below 256 tokens.,planner,TENTATIVE_PLAN,plan,4.2438781875,0.65,2.2964070000000003,0.0,closed_loop_cpb,C-CPB,send_actionable:4,2.296407,0.0,18.289431,0.0,0.0
high_fanout_feasible::edge_reservation-0-006,edge_reservation,token_demand,false,5,false,The prompt budget is below 256 tokens.,planner,TENTATIVE_PLAN,plan,4.2438781875,0.65,2.2964070000000003,0.0,progress_guarded_cpb,C-CPB+Prog.,send_actionable:4,2.296407,0.0,14.713195,0.0,0.0
high_fanout_feasible::edge_reservation-0-006,edge_reservation,token_demand,false,5,false,The prompt budget is below 256 tokens.,executor,PREPARED_ACTION,action,5.558947306249999,0.65,7.86717025,0.0,pressure_backpressure,Pressure BP,defer:4,0.0,0.0,8.043134,1.0,0.0
high_fanout_feasible::edge_reservation-0-006,edge_reservation,token_demand,false,5,false,The prompt budget is below 256 tokens.,executor,PREPARED_ACTION,action,5.558947306249999,0.65,7.86717025,0.0,static_cpb,Static CPB,verify_first:4,0.0,0.0,20.010144,1.0,0.0
high_fanout_feasible::edge_reservation-0-006,edge_reservation,token_demand,false,5,false,The prompt budget is below 256 tokens.,executor,PREPARED_ACTION,action,5.558947306249999,0.65,7.86717025,0.0,closed_loop_cpb,C-CPB,send_informational_only:4,1.573434,0.0,19.679168,0.0,0.0
high_fanout_feasible::edge_reservation-0-006,edge_reservation,token_demand,false,5,false,The prompt budget is below 256 tokens.,executor,PREPARED_ACTION,action,5.558947306249999,0.65,7.86717025,0.0,progress_guarded_cpb,C-CPB+Prog.,send_informational_only:4,1.573434,0.0,16.102932,0.0,0.0
high_fanout_feasible::edge_reservation-0-006,edge_reservation,token_demand,false,5,false,The prompt budget is below 256 tokens.,verifier,VERIFICATION_QUEUED,verification_queue,2.5685195562499996,0.45,0.44410950000000005,0.0,pressure_backpressure,Pressure BP,defer:1;send_actionable:3,0.333082,0.0,9.969523,0.25,0.0
high_fanout_feasible::edge_reservation-0-006,edge_reservation,token_demand,false,5,false,The prompt budget is below 256 tokens.,verifier,VERIFICATION_QUEUED,verification_queue,2.5685195562499996,0.45,0.44410950000000005,0.0,static_cpb,Static CPB,send_actionable:4,0.444109,0.0,22.578663,0.0,0.0
high_fanout_feasible::edge_reservation-0-006,edge_reservation,token_demand,false,5,false,The prompt budget is below 256 tokens.,verifier,VERIFICATION_QUEUED,verification_queue,2.5685195562499996,0.45,0.44410950000000005,0.0,closed_loop_cpb,C-CPB,send_actionable:1;send_informational_only:3,0.177644,0.0,20.802895,0.0,0.0
high_fanout_feasible::edge_reservation-0-006,edge_reservation,token_demand,false,5,false,The prompt budget is below 256 tokens.,verifier,VERIFICATION_QUEUED,verification_queue,2.5685195562499996,0.45,0.44410950000000005,0.0,progress_guarded_cpb,C-CPB+Prog.,send_actionable:2;send_informational_only:1;verify_first:1,0.24426,0.0,17.611937,0.25,0.0
high_fanout_feasible::edge_reservation-0-006,edge_reservation,token_demand,false,5,false,The prompt budget is below 256 tokens.,network_controller,RESOURCE_RESERVED,resource_reservation,6.67477855625,0.65,7.501498000000001,0.0,pressure_backpressure,Pressure BP,defer:4,0.0,0.0,9.969523,1.0,0.0
high_fanout_feasible::edge_reservation-0-006,edge_reservation,token_demand,false,5,false,The prompt budget is below 256 tokens.,network_controller,RESOURCE_RESERVED,resource_reservation,6.67477855625,0.65,7.501498000000001,0.0,static_cpb,Static CPB,verify_first:4,0.0,0.0,23.246141,1.0,0.0
high_fanout_feasible::edge_reservation-0-006,edge_reservation,token_demand,false,5,false,The prompt budget is below 256 tokens.,network_controller,RESOURCE_RESERVED,resource_reservation,6.67477855625,0.65,7.501498000000001,0.0,closed_loop_cpb,C-CPB,send_informational_only:4,1.5003,0.0,22.47159,0.0,0.0
high_fanout_feasible::edge_reservation-0-006,edge_reservation,token_demand,false,5,false,The prompt budget is below 256 tokens.,network_controller,RESOURCE_RESERVED,resource_reservation,6.67477855625,0.65,7.501498000000001,0.0,progress_guarded_cpb,C-CPB+Prog.,send_informational_only:4,1.5003,0.0,19.280631,0.0,0.0
high_fanout_feasible::leo_contact_handover-0-000,leo_contact_handover,contact_window,false,4,false,Satellite S4 will remain in view for the next three slots.,planner,TENTATIVE_PLAN,plan,3.6182687999999996,0.65,1.5880167500000002,0.0,pressure_backpressure,Pressure BP,send_actionable:4,1.369664,0.0,11.775214,0.0,0.0
high_fanout_feasible::leo_contact_handover-0-000,leo_contact_handover,contact_window,false,4,false,Satellite S4 will remain in view for the next three slots.,planner,TENTATIVE_PLAN,plan,3.6182687999999996,0.65,1.5880167500000002,0.0,static_cpb,Static CPB,send_actionable:4,1.588017,0.0,28.271497,0.0,0.0
high_fanout_feasible::leo_contact_handover-0-000,leo_contact_handover,contact_window,false,4,false,Satellite S4 will remain in view for the next three slots.,planner,TENTATIVE_PLAN,plan,3.6182687999999996,0.65,1.5880167500000002,0.0,closed_loop_cpb,C-CPB,send_actionable:4,1.588017,0.0,19.379705,0.0,0.0
high_fanout_feasible::leo_contact_handover-0-000,leo_contact_handover,contact_window,false,4,false,Satellite S4 will remain in view for the next three slots.,planner,TENTATIVE_PLAN,plan,3.6182687999999996,0.65,1.5880167500000002,0.0,progress_guarded_cpb,C-CPB+Prog.,send_actionable:4,1.588017,0.0,16.260349,0.0,0.0
high_fanout_feasible::leo_contact_handover-0-000,leo_contact_handover,contact_window,false,4,false,Satellite S4 will remain in view for the next three slots.,executor,PREPARED_ACTION,action,4.9451161374999995,0.75,6.549449000000001,0.0,pressure_backpressure,Pressure BP,defer:3;send_actionable:1,0.736813,0.0,12.331539,0.75,0.0
high_fanout_feasible::leo_contact_handover-0-000,leo_contact_handover,contact_window,false,4,false,Satellite S4 will remain in view for the next three slots.,executor,PREPARED_ACTION,action,4.9451161374999995,0.75,6.549449000000001,0.0,static_cpb,Static CPB,reject:4,0.0,0.0,28.271497,0.0,1.0
high_fanout_feasible::leo_contact_handover-0-000,leo_contact_handover,contact_window,false,4,false,Satellite S4 will remain in view for the next three slots.,executor,PREPARED_ACTION,action,4.9451161374999995,0.75,6.549449000000001,0.0,closed_loop_cpb,C-CPB,send_informational_only:4,1.30989,0.0,20.615984,0.0,0.0
high_fanout_feasible::leo_contact_handover-0-000,leo_contact_handover,contact_window,false,4,false,Satellite S4 will remain in view for the next three slots.,executor,PREPARED_ACTION,action,4.9451161374999995,0.75,6.549449000000001,0.0,progress_guarded_cpb,C-CPB+Prog.,send_informational_only:4,1.30989,0.0,17.496628,0.0,0.0
high_fanout_feasible::leo_contact_handover-0-000,leo_contact_handover,contact_window,false,4,false,Satellite S4 will remain in view for the next three slots.,verifier,VERIFICATION_QUEUED,verification_queue,2.3933340499999995,0.5,0.37291450000000004,0.0,pressure_backpressure,Pressure BP,defer:3;send_actionable:1,0.093229,0.0,12.929873,0.75,0.0
high_fanout_feasible::leo_contact_handover-0-000,leo_contact_handover,contact_window,false,4,false,Satellite S4 will remain in view for the next three slots.,verifier,VERIFICATION_QUEUED,verification_queue,2.3933340499999995,0.5,0.37291450000000004,0.0,static_cpb,Static CPB,reject:4,0.0,0.0,28.271497,0.0,1.0
high_fanout_feasible::leo_contact_handover-0-000,leo_contact_handover,contact_window,false,4,false,Satellite S4 will remain in view for the next three slots.,verifier,VERIFICATION_QUEUED,verification_queue,2.3933340499999995,0.5,0.37291450000000004,0.0,closed_loop_cpb,C-CPB,reject:1;send_actionable:1;send_informational_only:2,0.13052,0.0,21.513484,0.0,0.25
high_fanout_feasible::leo_contact_handover-0-000,leo_contact_handover,contact_window,false,4,false,Satellite S4 will remain in view for the next three slots.,verifier,VERIFICATION_QUEUED,verification_queue,2.3933340499999995,0.5,0.37291450000000004,0.0,progress_guarded_cpb,C-CPB+Prog.,send_actionable:2;verify_first:2,0.186457,0.0,18.812961,0.5,0.0
high_fanout_feasible::leo_contact_handover-0-000,leo_contact_handover,contact_window,false,4,false,Satellite S4 will remain in view for the next three slots.,network_controller,RESOURCE_RESERVED,resource_reservation,6.413798024999999,0.5008,4.504434,0.0,pressure_backpressure,Pressure BP,defer:2;send_actionable:2,1.632857,0.0,15.254875,0.5,0.0
high_fanout_feasible::leo_contact_handover-0-000,leo_contact_handover,contact_window,false,4,false,Satellite S4 will remain in view for the next three slots.,network_controller,RESOURCE_RESERVED,resource_reservation,6.413798024999999,0.5008,4.504434,0.0,static_cpb,Static CPB,reject:2;send_actionable:2,2.252217,0.0,31.478396,0.0,0.5
high_fanout_feasible::leo_contact_handover-0-000,leo_contact_handover,contact_window,false,4,false,Satellite S4 will remain in view for the next three slots.,network_controller,RESOURCE_RESERVED,resource_reservation,6.413798024999999,0.5008,4.504434,0.0,closed_loop_cpb,C-CPB,send_actionable:4,4.504434,0.0,27.927282,0.0,0.0
high_fanout_feasible::leo_contact_handover-0-000,leo_contact_handover,contact_window,false,4,false,Satellite S4 will remain in view for the next three slots.,network_controller,RESOURCE_RESERVED,resource_reservation,6.413798024999999,0.5008,4.504434,0.0,progress_guarded_cpb,C-CPB+Prog.,send_actionable:4,4.504434,0.0,25.226759,0.0,0.0
high_fanout_feasible::distributed_verifier_safety-0-009,distributed_verifier_safety,resource_demand,false,4,false,The verification request needs minimal compute.,planner,TENTATIVE_PLAN,plan,3.3698103749999997,0.65,1.5979595000000002,0.0,pressure_backpressure,Pressure BP,send_actionable:4,1.37824,0.0,7.245006,0.0,0.0
high_fanout_feasible::distributed_verifier_safety-0-009,distributed_verifier_safety,resource_demand,false,4,false,The verification request needs minimal compute.,planner,TENTATIVE_PLAN,plan,3.3698103749999997,0.65,1.5979595000000002,0.0,static_cpb,Static CPB,send_actionable:4,1.597959,0.0,7.604953,0.0,0.0
high_fanout_feasible::distributed_verifier_safety-0-009,distributed_verifier_safety,resource_demand,false,4,false,The verification request needs minimal compute.,planner,TENTATIVE_PLAN,plan,3.3698103749999997,0.65,1.5979595000000002,0.0,closed_loop_cpb,C-CPB,send_actionable:4,1.597959,0.0,5.656255,0.0,0.0
high_fanout_feasible::distributed_verifier_safety-0-009,distributed_verifier_safety,resource_demand,false,4,false,The verification request needs minimal compute.,planner,TENTATIVE_PLAN,plan,3.3698103749999997,0.65,1.5979595000000002,0.0,progress_guarded_cpb,C-CPB+Prog.,send_actionable:4,1.597959,0.0,3.36981,0.0,0.0
high_fanout_feasible::distributed_verifier_safety-0-009,distributed_verifier_safety,resource_demand,false,4,false,The verification request needs minimal compute.,executor,PREPARED_ACTION,action,4.4856416249999995,0.65,5.56303,0.0,pressure_backpressure,Pressure BP,defer:1;send_actionable:3,3.407356,0.0,9.992462,0.25,0.0
high_fanout_feasible::distributed_verifier_safety-0-009,distributed_verifier_safety,resource_demand,false,4,false,The verification request needs minimal compute.,executor,PREPARED_ACTION,action,4.4856416249999995,0.65,5.56303,0.0,static_cpb,Static CPB,send_actionable:3;verify_first:1,4.172273,0.0,11.081325,0.25,0.0
high_fanout_feasible::distributed_verifier_safety-0-009,distributed_verifier_safety,resource_demand,false,4,false,The verification request needs minimal compute.,executor,PREPARED_ACTION,action,4.4856416249999995,0.65,5.56303,0.0,closed_loop_cpb,C-CPB,send_actionable:2;send_informational_only:2,3.337818,0.0,8.459781,0.0,0.0
high_fanout_feasible::distributed_verifier_safety-0-009,distributed_verifier_safety,resource_demand,false,4,false,The verification request needs minimal compute.,executor,PREPARED_ACTION,action,4.4856416249999995,0.65,5.56303,0.0,progress_guarded_cpb,C-CPB+Prog.,send_actionable:2;send_informational_only:2,3.337818,0.0,6.173336,0.0,0.0
high_fanout_feasible::distributed_verifier_safety-0-009,distributed_verifier_safety,resource_demand,false,4,false,The verification request needs minimal compute.,verifier,VERIFICATION_QUEUED,verification_queue,2.3275000062499998,0.65,0.5094124999999999,0.0,pressure_backpressure,Pressure BP,defer:2;send_actionable:2,0.254706,0.0,11.156212,0.5,0.0
high_fanout_feasible::distributed_verifier_safety-0-009,distributed_verifier_safety,resource_demand,false,4,false,The verification request needs minimal compute.,verifier,VERIFICATION_QUEUED,verification_queue,2.3275000062499998,0.65,0.5094124999999999,0.0,static_cpb,Static CPB,send_actionable:4,0.509413,0.0,13.408825,0.0,0.0
high_fanout_feasible::distributed_verifier_safety-0-009,distributed_verifier_safety,resource_demand,false,4,false,The verification request needs minimal compute.,verifier,VERIFICATION_QUEUED,verification_queue,2.3275000062499998,0.65,0.5094124999999999,0.0,closed_loop_cpb,C-CPB,verify_first:4,0.0,0.0,8.692531,1.0,0.0
high_fanout_feasible::distributed_verifier_safety-0-009,distributed_verifier_safety,resource_demand,false,4,false,The verification request needs minimal compute.,verifier,VERIFICATION_QUEUED,verification_queue,2.3275000062499998,0.65,0.5094124999999999,0.0,progress_guarded_cpb,C-CPB+Prog.,send_actionable:2;verify_first:2,0.254706,0.0,7.453461,0.5,0.0
high_fanout_feasible::distributed_verifier_safety-0-009,distributed_verifier_safety,resource_demand,false,4,false,The verification request needs minimal compute.,network_controller,RESOURCE_RESERVED,resource_reservation,5.97502838125,0.65,5.88451225,0.0,pressure_backpressure,Pressure BP,defer:3;send_actionable:1,0.662008,0.0,11.828402,0.75,0.0
high_fanout_feasible::distributed_verifier_safety-0-009,distributed_verifier_safety,resource_demand,false,4,false,The verification request needs minimal compute.,network_controller,RESOURCE_RESERVED,resource_reservation,5.97502838125,0.65,5.88451225,0.0,static_cpb,Static CPB,send_actionable:2;verify_first:2,2.942256,0.0,16.695091,0.5,0.0
high_fanout_feasible::distributed_verifier_safety-0-009,distributed_verifier_safety,resource_demand,false,4,false,The verification request needs minimal compute.,network_controller,RESOURCE_RESERVED,resource_reservation,5.97502838125,0.65,5.88451225,0.0,closed_loop_cpb,C-CPB,send_informational_only:4,1.176902,0.0,10.186288,0.0,0.0
